Algae,Round,Day,Date,Tstart,Tend,CultureVol,AirFlow,InocBefore,InocAfter,Chl_medium,OD750_medium
C323,3,5,11/14/17,10:28,13:00,450,0.25,NA,NA,0.269,0.0430
D046,0,0,7/16/17,9:50,13:10,1090,1.1,72.6,43.2,0.263,0.0427
D046,0,1,7/17/17,10:15,11:10,1055,1.1,74.0,43.8,0.278,0.0427
D046,0,2,7/18/17,9:30,11:20,1036,1.1,73.4,43.8,0.292,0.0423
D046,0,3,7/19/17,9:35,10:50,1021,1,73.1,45.5,0.307,0.0433
D046,0,4,7/20/17,9:30,10:45,1006,1,75.5,43.7,0.311,0.0430
D046,0,5,7/21/17,9:30,11:55,973,1,69.6,41.5,0.270,0.0467
D046,1,0,7/22/17,10:10,13:12,958,0.9,78.2,48.9,0.276,0.0423
D046,1,1,7/23/17,9:35,10:30,923,0.9,71.7,42.2,0.301,0.0420
D046,1,2,7/24/17,9:36,11:30,890,0.9,73.9,40.1,0.261,0.0427
D046,1,3,7/25/17,9:36,10:44,876,0.9,77.5,45.7,0.279,0.0427
D046,1,4,7/26/17,9:25,11:45,843,0.9,76.7,48.5,0.296,0.0423
D046,1,5,7/27/17,9:59,13:00,810,0.9,70.5,40.9,0.293,0.0420
D046,2,0,7/28/17,9:53,12:08,795,0.75,63.7,41.4,0.291,0.0427
D046,2,1,7/29/17,9:49,10:35,765,0.75,58.2,32.6,0.268,0.0433
D046,2,2,7/30/17,9:37,11:30,750,0.75,69.3,40.9,0.292,0.0423
D046,2,3,7/31/17,9:40,10:34,722,0.75,71.8,43.6,0.294,0.0437
D046,2,4,8/1/17,9:38,11:40,707,0.75,67.8,40.3,0.276,0.0420
D046,2,5,8/2/17,9:41,11:40,679,0.75,68.7,41.0,0.279,0.0427
D046,3,0,8/3/17,10:12,12:20,631,0.55,72.3,44.8,0.277,0.0423
D046,3,1,8/4/17,9:39,10:33,600,0.55,70.7,41.8,0.269,0.0420
D046,3,2,8/5/17,9:59,12:03,586,0.55,70.3,41.4,0.270,0.0430
D046,3,3,8/6/17,10:09,10:58,558,0.55,64.1,41.8,0.273,0.0423
D046,3,4,8/7/17,9:41,11:45,543,0.55,80.9,47.8,0.281,0.0420
D046,3,5,8/8/17,9:50,12:15,515,0.55,77.1,45.4,0.270,0.0433
D046,4,0,8/9/17,10:01,13:05,442,0.4,NA,NA,0.294,0.0430
D046,4,1,8/10/17,10:06,10:56,407,0.4,NA,NA,0.315,0.0440
D046,4,2,8/11/17,9:50,11:55,393,0.4,NA,NA,0.314,0.0423
D046,4,3,8/12/17,10:08,10:50,360,0.4,NA,NA,0.309,0.0433
D046,4,4,8/13/17,10:18,12:20,345,0.4,NA,NA,0.300,0.0430
D046,4,5,8/14/17,10:25,13:03,312,0.4,NA,NA,0.298,0.0433
Navicula,0,0,8/29/17,9:48,12:17,1060,1.00,30.0,70.8,0.275,0.0434
Navicula,0,1,8/30/17,9:40,10:43,1045,1.00,57.1,49.0,0.294,0.0427
Navicula,0,2,8/31/17,9:46,10:45,1030,1.00,49.8,43.0,0.296,0.0433
Navicula,0,3,9/1/17,9:30,10:26,1015,1.00,36.8,39.7,0.298,0.0427
Navicula,0,4,9/2/17,10:01,11:33,1000,1.00,37.8,48.5,0.289,0.0443
Navicula,0,5,9/3/17,10:33,12:20,960,1.00,38.7,65.7,0.304,0.0433
Navicula,1,0,9/4/17,10:24,12:50,970,0.90,70.6,70.1,0.285,0.0430
Navicula,1,1,9/5/17,10:00,10:49,956,0.90,86.6,52.3,0.279,0.0437
Navicula,1,2,9/6/17,9:50,11:50,914,0.90,85.1,69.1,0.288,0.0437
Navicula,1,3,9/7/17,10:12,10:56,900,0.90,90.3,62.9,0.279,0.0430
Navicula,1,4,9/8/17,9:58,12:02,860,0.90,72.8,57.7,0.292,0.0427
Navicula,1,5,9/9/17,10:26,13:55,830,0.90,78.5,56.0,0.302,0.0433
Navicula,2,0,9/10/17,10:28,12:55,828,0.80,89.8,61.0,0.259,0.0423
Navicula,2,1,9/11/17,10:07,10:54,814,0.80,65.5,61.1,0.276,0.0420
Navicula,2,2,9/12/17,9:56,12:25,772,0.80,92.7,60.2,0.309,0.0430
Navicula,2,3,9/13/17,9:37,10:24,758,0.80,67.4,59.1,0.302,0.0430
Navicula,2,4,9/14/17,9:41,11:58,716,0.80,109.0,93.1,0.286,0.0427
Navicula,2,5,9/15/17,9:49,12:16,673,0.80,99.3,74.3,0.284,0.0433
Navicula,3,0,9/16/17,10:11,12:32,655,0.60,92.6,60.6,0.262,0.0453
Navicula,3,1,9/17/17,10:08,10:56,641,0.60,81.3,50.1,0.274,0.0427
Navicula,3,2,9/18/17,9:53,12:03,599,0.60,78.3,64.0,0.304,0.0437
Navicula,3,3,9/19/17,9:49,10:38,585,0.60,79.7,64.2,0.29,0.0430
Navicula,3,4,9/20/17,9:37,11:53,543,0.60,84.3,61.0,0.251,0.0433
Navicula,3,5,9/21/17,9:54,12:18,498,0.60,77.6,73.0,0.281,0.0420
Navicula,4,0,9/22/17,9:50,12:20,450,0.35,NA,NA,0.276,0.0437
Navicula,4,1,9/23/17,9:50,10:32,436,0.35,NA,NA,0.274,0.0423
Navicula,4,2,9/24/17,9:59,12:00,394,0.35,NA,NA,0.281,0.0430
Navicula,4,3,9/25/17,10:04,10:57,380,0.35,NA,NA,0.286,0.0430
Navicula,4,4,9/26/17,10:13,12:20,338,0.35,NA,NA,0.282,0.0450
Navicula,4,5,9/27/17,9:41,12:01,290,0.35,NA,NA,0.297,0.0434
